date,n_points,slope_DO_per_hour,intercept,r_squared,time_start_h,time_end_h
2024-07-16,37,0.20125177809388337,-1.2245376955903273,0.41624124431300347,9.333333333333334,15.333333333333334
2024-08-13,34,0.47504965622612694,-4.715714285714288,0.589732530201554,9.166666666666666,14.666666666666666
2025-10-02,15,0.22357142857142853,-1.5874047619047604,0.24974657147506954,15.0,22.0
2025-10-09,2,0.6400000000000001,-6.730000000000002,1.0,13.5,14.0
2025-10-14,18,0.056284829721362235,4.025961472308222,0.1643845006522782,15.0,23.5
2025-10-15,12,-0.10608391608391608,5.207564102564103,0.6772073643207446,0.0,5.5
2025-10-16,21,0.1962077922077922,1.0596796536796536,0.6464554541768898,13.5,23.5
2025-10-17,48,0.08359856708640903,4.094591836734694,0.6447956835299101,0.0,23.5
2025-10-18,48,-0.0020462440295267114,5.0275850340136055,0.0007525951624574648,0.0,23.5
2025-10-19,48,0.1043910117238385,4.20111394557823,0.6506635242987028,0.0,23.5
2025-10-20,35,0.007210084033613442,5.0407142857142855,0.0053263883698210605,0.0,17.0
MEAN_ACROSS_DAYS,318,0.17085772614100103,,,,
